fixture_id,match,vienna_datetime,league,country,canonical_wde_direction,canonical_ecse_direction,exact_v2_direction,lambda_v2_direction,dna_direction,twins_direction,market_direction,no_bet,confidence,entropy,conflict_count,primary_rejection_gate,technical_vs_policy,recommended_audit_classification,missing_outputs,all_rejection_gates,no_bet_reason_codes
1498696,Deportivo Maipu vs Atlanta,2026-08-02 20:30 CEST,Primera Nacional,Argentina,away,draw,draw,draw,draw,home,home,True,45.7,1.53158,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498699,Patronato vs Quilmes,2026-08-02 20:30 CEST,Primera Nacional,Argentina,away,draw,draw,draw,home,home,home,True,52.1,1.525643,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498701,San Telmo vs San Miguel,2026-08-02 20:00 CEST,Primera Nacional,Argentina,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1498702,Temperley vs Gimnasia Y Tiro,2026-08-02 20:30 CEST,Primera Nacional,Argentina,home,home,home,home,home,home,home,True,57.1,1.524788,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1508822,Thor Akureyri vs Breidablik,2026-08-04 20:30 CEST,Úrvalsdeild,Iceland,away,away,away,away,draw,away,away,True,58.3,1.588182,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1508823,Valur Reykjavik vs Stjarnan,2026-08-04 21:15 CEST,Úrvalsdeild,Iceland,home,home,home,draw,home,draw,home,True,55.2,1.594976,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1508824,Keflavik vs KA Akureyri,2026-08-05 20:00 CEST,Úrvalsdeild,Iceland,home,home,home,home,home,home,home,True,54.1,1.59604,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1508825,FH hafnarfjordur vs KR Reykjavik,2026-08-05 21:15 CEST,Úrvalsdeild,Iceland,away,away,away,away,draw,away,away,True,53.7,1.592641,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1514248,Vestri vs Grotta,2026-08-03 16:00 CEST,1. Deild,Iceland,away,home,home,home,home,home,home,True,51.7,1.595548,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1514249,IR Reykjavik vs Ægir,2026-08-06 21:15 CEST,1. Deild,Iceland,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1515895,Tukums vs FK Liepaja,2026-08-02 15:00 CEST,Virsliga,Latvia,away,away,away,away,draw,away,away,True,50.8,1.595703,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1515896,Riga vs Grobiņa,2026-08-02 17:00 CEST,Virsliga,Latvia,home,home,home,home,home,home,home,True,68.1,1.544871,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1515897,Rīgas FS vs Super Nova,2026-08-02 19:00 CEST,Virsliga,Latvia,,,home,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1515898,Auda vs Ogre United,2026-08-03 17:00 CEST,Virsliga,Latvia,home,home,home,home,home,home,home,True,64.6,1.538116,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1547600,Hegelmann Litauen vs TransINVEST Vilnius,2026-08-02 17:45 CEST,A Lyga,Lithuania,away,away,away,away,draw,away,away,True,52.1,1.586579,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1547602,Šiauliai vs Banga,2026-08-03 17:45 CEST,A Lyga,Lithuania,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1547603,Panevėžys vs Džiugas Telšiai,2026-08-03 18:30 CEST,A Lyga,Lithuania,away,away,away,away,draw,draw,away,True,53.3,1.573736,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1556402,Dainava vs Tauras,2026-08-02 16:00 CEST,1 Lyga,Lithuania,away,home,home,home,home,draw,home,True,58.3,1.594906,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1556403,FA Šiauliai II vs BFA,2026-08-02 16:00 CEST,1 Lyga,Lithuania,away,away,away,away,draw,away,away,True,42.9,1.592927,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1556404,Transinvest 2 vs Babrungas,2026-08-03 17:00 CEST,1 Lyga,Lithuania,away,away,away,away,draw,away,away,True,63.4,1.544579,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1556633,Celtic vs Dundee,2026-08-03 20:30 CEST,Scottish Premiership,Scotland,home,home,home,home,home,home,home,True,65.6,1.543268,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1598824,Olympiakos Piraeus vs NEC Nijmegen,2026-08-04 20:00 CEST,UEFA Champions League,Europe,home,home,home,home,home,home,home,True,61.7,1.53963,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1598825,Union St. Gilloise vs Bodo/Glimt,2026-08-04 20:00 CEST,UEFA Champions League,Europe,away,home,home,home,home,home,home,True,40.9,1.593535,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1598826,Sparta Praha vs Lyon,2026-08-04 20:00 CEST,UEFA Champions League,Europe,away,away,away,away,draw,away,away,True,57.1,1.572389,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1598830,Jagiellonia vs Rangers,2026-08-06 18:00 CEST,UEFA Europa League,Europe,home,draw,away,away,draw,draw,away,True,48.9,1.560868,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1605370,Ararat-Armenia vs Celje,2026-08-04 18:00 CEST,UEFA Champions League,Europe,home,draw,away,away,draw,home,away,True,58.9,1.570025,4,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1605372,Tre Fiori vs Drita,2026-08-06 21:00 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607163,Aarhus vs Sabah FA,2026-08-05 18:30 CEST,UEFA Champions League,Europe,away,home,home,home,home,home,home,True,27.8,1.541732,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607164,Dinamo Zagreb vs Kauno Žalgiris,2026-08-04 20:00 CEST,UEFA Champions League,Europe,away,home,home,home,home,home,home,True,50.0,1.508538,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607165,Fenerbahçe vs Sturm Graz,2026-08-05 20:00 CEST,UEFA Champions League,Europe,away,home,home,home,home,home,home,True,44.5,1.527465,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607166,Hapoel Beer Sheva vs FK Crvena Zvezda,2026-08-04 19:30 CEST,UEFA Champions League,Europe,away,away,away,away,draw,away,away,True,51.7,1.577604,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607167,Levski Sofia vs Kairat Almaty,2026-08-04 19:30 CEST,UEFA Champions League,Europe,home,home,home,home,home,home,home,True,52.3,1.560138,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607168,Mjallby AIF vs Slovan Bratislava,2026-08-04 18:00 CEST,UEFA Champions League,Europe,home,home,home,home,home,home,home,True,52.6,1.579403,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607175,KuPS vs Universitatea Craiova,2026-08-06 17:00 CEST,UEFA Europa League,Europe,home,away,away,away,draw,draw,away,True,55.5,1.559379,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607177,Lech Poznan vs KI Klaksvik,2026-08-06 19:00 CEST,UEFA Europa League,Europe,home,home,home,home,home,home,home,True,61.6,1.519958,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1607178,Lincoln Red Imps FC vs Omonia Nicosia,2026-08-06 18:00 CEST,UEFA Europa League,Europe,away,away,away,away,draw,away,away,True,54.1,1.519847,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607179,FC Thun vs Vikingur Reykjavik,2026-08-06 20:00 CEST,UEFA Europa League,Europe,away,home,home,home,home,home,home,True,36.0,1.541357,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607560,Benfica vs Heart Of Midlothian,2026-08-06 21:00 CEST,UEFA Europa League,Europe,away,home,home,home,home,home,home,True,41.4,1.518776,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607561,Ferencvarosi TC vs Gornik Zabrze,2026-08-05 20:15 CEST,UEFA Europa League,Europe,home,home,home,home,home,home,home,True,49.6,1.54304,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607562,Hradec Králové vs Beşiktaş,2026-08-06 19:00 CEST,UEFA Europa League,Europe,away,away,away,away,draw,away,away,True,53.3,1.566472,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607563,Maccabi Tel Aviv vs CSKA Sofia,2026-08-06 18:00 CEST,UEFA Europa League,Europe,home,home,home,home,home,home,home,True,49.7,1.556856,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607564,Pafos vs Red Bull Salzburg,2026-08-06 19:00 CEST,UEFA Europa League,Europe,away,away,away,away,draw,away,away,True,34.3,1.543155,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607565,PAOK vs Anderlecht,2026-08-06 19:45 CEST,UEFA Europa League,Europe,home,home,home,home,home,home,home,True,57.7,1.548821,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607572,Ajax vs Shelbourne,2026-08-06 20:00 CEST,UEFA Conference League,Europe,home,home,home,home,home,home,home,True,62.0,1.540141,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1607574,Beitar Jerusalem vs Austria Vienna,2026-08-06 19:30 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,34.9,1.544161,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607575,Bohemians vs FC Midtjylland,2026-08-06 20:45 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607576,Borac Banja Luka vs ML Vitebsk,2026-08-06 20:30 CEST,UEFA Conference League,Europe,,,home,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607577,SC Braga vs Dinamo Minsk,2026-08-06 20:30 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607578,Brann vs Apollon Limassol,2026-08-05 19:00 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,34.5,1.564729,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607579,CFR 1907 Cluj vs Tromso,2026-08-06 18:30 CEST,UEFA Conference League,Europe,away,draw,draw,draw,draw,away,home,True,39.6,1.542627,4,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607580,Debreceni VSC vs FC Copenhagen,2026-08-06 19:00 CEST,UEFA Conference League,Europe,away,away,away,away,draw,away,away,True,53.4,1.547143,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607581,Dynamo Kyiv vs Qarabag,2026-08-06 19:00 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,35.9,1.559579,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607582,Flora Tallinn vs Inter Club d'Escaldes,2026-08-06 19:00 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,45.3,1.575275,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607583,IFK Goteborg vs Gent,2026-08-06 19:00 CEST,UEFA Conference League,Europe,away,draw,draw,home,draw,home,home,True,39.0,1.577313,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607584,Hapoel Tel Aviv vs GKS Katowice,2026-08-06 20:00 CEST,UEFA Conference League,Europe,home,home,home,home,home,home,home,True,53.5,1.56783,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607585,Hibernian vs Shkendija,2026-08-06 21:00 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607586,HJK Helsinki vs Motherwell,2026-08-06 18:00 CEST,UEFA Conference League,Europe,home,draw,draw,draw,draw,away,away,True,52.9,1.566711,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607587,Inter Turku vs FC Vaduz,2026-08-06 17:00 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,37.1,1.584449,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607588,FK Jablonec vs Rīgas FS,2026-08-06 18:00 CEST,UEFA Conference League,Europe,away,home,home,home,home,home,home,True,35.8,1.513317,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607589,FC Lugano vs NSI Runavik,2026-08-06 20:30 CEST,UEFA Conference League,Europe,,,home,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607590,FC Noah vs FC Sion,2026-08-06 18:00 CEST,UEFA Conference League,Europe,away,draw,draw,draw,draw,home,home,True,52.1,1.558803,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607591,Paide vs Rapid Vienna,2026-08-06 18:00 CEST,UEFA Conference League,Europe,away,away,away,away,draw,away,away,True,53.1,1.541662,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1607592,Panathinaikos vs CSKA 1948,2026-08-05 20:30 CEST,UEFA Conference League,Europe,home,home,home,home,home,home,home,True,60.4,1.499782,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1607593,FK Partizan vs FK Tobol Kostanay,2026-08-06 21:00 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607594,Raków Częstochowa vs Hammarby FF,2026-08-06 19:00 CEST,UEFA Conference League,Europe,home,home,home,home,home,home,home,True,45.7,1.574574,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1607595,Riga vs Gyori ETO FC,2026-08-06 19:00 CEST,UEFA Conference League,Europe,home,draw,draw,draw,draw,draw,home,True,53.9,1.557372,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607596,HNK Rijeka vs Ilves,2026-08-06 20:45 CEST,UEFA Conference League,Europe,,,home,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1607597,Sheriff Tiraspol vs FC ST. Gallen,2026-08-06 19:00 CEST,UEFA Conference League,Europe,away,away,away,away,draw,home,away,True,52.2,1.584225,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1607598,Twente vs Dunajska Streda,2026-08-06 20:00 CEST,UEFA Conference League,Europe,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
